rank,State,Pop,Growth,Pop2018,Pop2010,growthSince2010,Percent,density
1,California,39562900,0.0026,39461600,37319500,0.0601,0.1188,253.9681
2,Texas,29363100,0.0257,28628700,25242000,0.1633,0.0882,112.4024
3,Florida,21711200,0.022,21244300,18845500,0.1521,0.0652,404.8709
4,New York,19376800,-0.0079,19530400,19399900,-0.0012,0.0582,411.1701
5,Pennsylvania,12803100,0.0002,12800900,12711200,0.0072,0.0384,286.1476
6,Illinois,12620600,-0.0081,12723100,12840500,-0.0171,0.0379,227.3204
7,Ohio,11701900,0.0022,11676300,11539300,0.0141,0.0351,286.3831
8,Georgia,10723700,0.0202,10511100,9711880,0.1042,0.0322,186.457
9,North Carolina,10594600,0.0205,10381600,9574320,0.1066,0.0318,217.9152
10,Michigan,9989640,0.0006,9984070,9877510,0.0114,0.03,176.6858
11,New Jersey,8878360,-0.0009,8886020,8799450,0.009,0.0267,1207.2831
12,Virginia,8569750,0.0081,8501290,8023700,0.0681,0.0257,217.0106
13,Washington,7705920,0.0242,7523870,6742830,0.1428,0.0231,115.9552
14,Arizona,7399410,0.0337,7158020,6407170,0.1549,0.0222,65.1391
15,Massachusetts,6902370,0.0029,6882640,6566310,0.0512,0.0207,884.9192
16,Tennessee,6886720,0.017,6771630,6355310,0.0836,0.0207,167.0115
17,Indiana,6768940,0.011,6695500,6490430,0.0429,0.0203,188.9393
18,Missouri,6153230,0.0052,6121620,5995970,0.0262,0.0185,89.5119
19,Maryland,6055560,0.0033,6035800,5788640,0.0461,0.0182,623.8343
20,Wisconsin,5837460,0.0052,5807410,5690480,0.0258,0.0175,107.7857
21,Colorado,5826180,0.0237,5691290,5047350,0.1543,0.0175,56.2145
22,Minnesota,5673020,0.0119,5606250,5310830,0.0682,0.017,71.2449
23,South Carolina,5213270,0.0254,5084160,4635650,0.1246,0.0157,173.423
24,Alabama,4918690,0.0063,4887680,4785440,0.0278,0.0148,97.1209
25,Louisiana,4637900,-0.0047,4659690,4544530,0.0205,0.0139,107.3489
26,Kentucky,4474190,0.0029,4461150,4348180,0.029,0.0134,113.3108
27,Oregon,4253590,0.0171,4181890,3837490,0.1084,0.0128,44.3138
28,Oklahoma,3973710,0.0085,3940240,3759940,0.0569,0.0119,57.93
29,Connecticut,3559050,-0.0035,3571520,3579110,-0.0056,0.0107,735.0372
30,Utah,3258370,0.0332,3153550,2775330,0.174,0.0098,39.654
31,Puerto Rico,3194030,0.0002,3193350,3721520,-0.1417,0.0096,923.3969
32,Iowa,3161520,0.0041,3148620,3050740,0.0363,0.0095,56.6002
33,Nevada,3132970,0.0349,3027340,2702400,0.1593,0.0094,28.5384
34,Arkansas,3025880,0.0054,3009730,2921960,0.0356,0.0091,58.1509
35,Mississippi,2971280,-0.0033,2981020,2970550,0.0002,0.0089,63.3225
36,Kansas,2915270,0.0013,2911360,2858190,0.02,0.0088,35.6569
37,New Mexico,2100920,0.0039,2092740,2064550,0.0176,0.0063,17.3203
38,Nebraska,1943200,0.0091,1925610,1829540,0.0621,0.0058,25.2942
39,Idaho,1823590,0.0417,1750540,1570750,0.161,0.0055,22.0659
40,West Virginia,1780000,-0.0135,1804290,1854240,-0.04,0.0053,74.0494
41,Hawaii,1411150,-0.0066,1420590,1363960,0.0346,0.0042,219.7026
42,New Hampshire,1365960,0.0092,1353460,1316760,0.0374,0.0041,152.5701
43,Maine,1349370,0.0077,1339060,1327630,0.0164,0.0041,43.7496
44,Montana,1076890,0.0153,1060660,990697,0.087,0.0032,7.399
45,Rhode Island,1060440,0.002,1058290,1053960,0.0061,0.0032,1025.5706
46,Delaware,982049,0.0172,965479,899593,0.0917,0.0029,503.8733
47,South Dakota,890620,0.0136,878698,816166,0.0912,0.0027,11.7479
48,North Dakota,766044,0.0105,758080,674715,0.1354,0.0023,11.1019
49,Alaska,727951,-0.0098,735139,713910,0.0197,0.0022,1.2757
50,District of Columbia,709951,0.012,701547,605226,0.173,0.0021,11638.541
51,Vermont,623620,-0.0012,624358,625879,-0.0036,0.0019,67.6598
52,Wyoming,579917,0.004,577601,564487,0.0273,0.0017,5.9728
